0, 50, 0.002251, 0.000157, 0.000908548431372549, 0.0003775840519432105
0, 500, 0.017267, 0.000231, 0.005637691040000001, 0.0030943973895839103
0, 900, 0.032729, 0.000225, 0.010440012827282729, 0.006076992672498103

1, 50, 0.006486, 0.000281, 0.0019756201960784317, 0.0009472237306703521
1, 500, 0.040185, 0.000357, 0.016965097564356435, 0.009746703609205983
1, 900, 0.071209, 0.000443, 0.03096141473047305, 0.017959592327831193

2, 50, 0.004421, 0.001941, 0.0030008266666666666, 0.0004177844858563111
2, 500, 0.037184, 0.01441, 0.025252003495145628, 0.004008984641491651
2, 900, 0.067331, 0.022687, 0.045526086226622665, 0.007468621471267627
